cage,trt,aphidtot,aphidleaf,aphidabove,leaves,size,1d,2d,3d,4d,5d,6d,nummoves6d
1,C,0,0,0,17,0.13,1,1,1,1,1,1,4
2,AH,450,94,0,21,0.15,1,1,1,1,1,1,2
3,H,284,0,3,24,0.13,0,0,0,0,0,0,NA
4,AH,190,23,8,18,0.19,1,1,1,1,1,1,5
5,H,303,7,62,16,0.07,1,1,1,1,1,1,1
6,C,0,0,0,21,0.05,1,1,1,1,1,1,4
7,H,248,19,71,14,0.17,1,1,1,1,1,1,4
8,H,89,0,5,15,0.12,1,1,1,1,1,1,4
9,C,0,0,0,17,0.1,1,0,0,0,0,0,NA
10,AH,115,2,3,18,0.06,1,1,1,1,1,0,NA
11,H,196,7,3,29,0.07,1,1,1,1,1,1,3
12,AH,184,5,23,21,0.07,0,0,0,0,0,0,NA
13,AH,163,35,6,20,0.09,1,1,1,0,0,0,NA
14,H,114,1,2,15,0.11,1,1,1,1,1,1,3
15,C,0,0,0,26,0.07,1,1,1,1,1,1,1
16,C,0,0,0,22,0.11,1,1,1,1,1,1,4
17,AH,165,53,0,21,0.13,1,1,1,1,1,1,4
18,C,0,0,0,16,0.12,1,1,1,1,1,1,2
19,H,157,51,32,24,0.14,1,1,0,0,0,0,NA
20,H,284,123,18,19,0.15,1,0,0,0,0,0,NA
21,C,0,0,0,22,0.15,1,1,1,1,1,1,4
22,H,199,15,9,30,0.16,1,1,1,1,1,1,3
23,AH,123,9,0,26,0.14,1,1,0,0,0,0,NA
24,C,0,0,0,24,0.09,1,0,0,0,0,0,NA
25,H,98,0,0,20,0.08,1,0,0,0,0,0,NA
26,AH,64,1,0,20,0.05,1,1,1,0,0,0,NA
27,AH,63,2,0,22,0.05,1,1,1,1,1,1,4
28,C,0,0,0,14,0.09,1,1,1,1,1,1,2
29,AH,188,54,28,31,0.04,1,0,0,0,0,0,NA
30,C,0,0,0,23,0.08,0,0,0,0,0,0,NA
